,similarity,group,absolute,percentual
0,100%,script_url,287460,0.3480659370996685
1,100%,script_url_clean,363694,0.4403725489721242
2,100%,script_url_plus_1,656672,0.7951198603183521
3,80%+,script_url,90798,0.10994117775264628
4,80%+,script_url_clean,140444,0.17005417265019773
5,80%+,script_url_plus_1,81609,0.098814837058258
6,50%+,script_url,311461,0.3771271301572387
7,50%+,script_url_clean,241902,0.2929028258411049
8,50%+,script_url_plus_1,64849,0.07852128280448202
9,50%-,script_url,136159,0.16486575499044653
10,50%-,script_url_clean,79838,0.09667045253657319
11,50%-,script_url_plus_1,22748,0.02754401981890788
